26.9458,5.0
36.902,6.0
40.3746,7.0
48.8928,8.0
47.5533,9.0
60.9507,10.0
68.8901,11.0
62.4707,12.0
71.1787,13.0
76.2354,14.0
84.35,15.0
88.5324,16.0
93.7524,17.0
99.869,18.0
103.0758,19.0
105.9382,20.0
112.236,21.0
112.7684,22.0
125.8214,23.0
130.3372,24.0
129.4011,25.0
138.3492,26.0
144.721,27.0
145.7974,28.0
146.2754,29.0
158.373,30.0
162.332,31.0
163.0158,32.0
178.2137,33.0
176.5201,34.0
181.5007,35.0
188.9604,36.0
194.281,37.0
200.5083,38.0
206.6407,39.0
208.9917,40.0
209.7028,41.0
213.986,42.0
230.6728,43.0
230.1658,44.0
229.9851,45.0
236.4439,46.0
241.3421,47.0
249.2564,48.0
250.5423,49.0
253.3365,50.0
262.46,51.0
267.5496,52.0
279.5957,53.0
272.7859,54.0
277.95889999999997,55.0
286.5747,56.0
296.2924,57.0
297.7671,58.0
305.5005,59.0
311.3563,60.0
310.2295,61.0
318.3676,62.0
318.7887,63.0
328.0366,64.0
334.9449,65.0
336.8825,66.0
341.0168,67.0
346.983,68.0
351.6696,69.0
357.9459,70.0
360.6938,71.0
365.5591,72.0
366.5905,73.0
376.5376,74.0
382.2629,75.0
383.9791,76.0
392.8015,77.0
398.0814,78.0
407.5543,79.0
405.1568,80.0
409.4425,81.0
413.6154,82.0
418.6669,83.0
436.2353,84.0
435.0436,85.0
431.5968,86.0
443.3109,87.0
446.7586,88.0
452.0895,89.0
456.549,90.0
459.9232,91.0
466.2387,92.0
479.0597,93.0
475.4523,94.0
480.8823,95.0
481.8174,96.0
484.9381,97.0
494.2886,98.0
503.1323,99.0
511.5259,100.0
503.4745,101.0
512.71,102.0
521.0013,103.0
520.1366,104.0
